Series Name,Series Code,Time,Time Code,Netherlands [NLD]
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,YR1960,59.752
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,YR1961,60.02
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962,YR1962,60.204
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1963,YR1963,60.387
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1964,YR1964,60.57
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1965,YR1965,60.753
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1966,YR1966,60.936
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1967,YR1967,61.118
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1968,YR1968,61.3
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1969,YR1969,61.481
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1970,YR1970,61.663
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1971,YR1971,61.913
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1972,YR1972,62.232
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1973,YR1973,62.55
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1974,YR1974,62.867
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1975,YR1975,63.183
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1976,YR1976,63.498
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1977,YR1977,63.811
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1978,YR1978,64.123
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1979,YR1979,64.435
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1980,YR1980,64.745
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1981,YR1981,65.104
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1982,YR1982,65.511
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1983,YR1983,65.916
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1984,YR1984,66.319
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1985,YR1985,66.719
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1986,YR1986,67.117
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1987,YR1987,67.513
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1988,YR1988,67.906
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1989,YR1989,68.296
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1990,YR1990,68.684
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1991,YR1991,69.329
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1992,YR1992,70.223
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1993,YR1993,71.1
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1994,YR1994,71.962
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1995,YR1995,72.809
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1996,YR1996,73.64
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1997,YR1997,74.453
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1998,YR1998,75.25
Urban population (% of total population),SP.URB.TOTL.IN.ZS,1999,YR1999,76.03
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,YR2000,76.795
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2001,YR2001,77.83
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2002,YR2002,79.113
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2003,YR2003,80.341
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2004,YR2004,81.514
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2005,YR2005,82.63
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2006,YR2006,83.636
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2007,YR2007,84.539
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2008,YR2008,85.402
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2009,YR2009,86.288
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2010,YR2010,87.134
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2011,YR2011,87.879
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2012,YR2012,88.588
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2013,YR2013,89.187
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2014,YR2014,89.69
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,YR2015,90.173
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2016,YR2016,90.635
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2017,YR2017,91.077
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2018,YR2018,91.49
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2019,YR2019,91.876
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2020,YR2020,92.236
Urban population (% of total population),SP.URB.TOTL.IN.ZS,2021,YR2021,92.572
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 09/16/2022,,,,
